Core ID,Experiment.title,Treatment.Met52,Treat.met52.title,Treat.spider.title,Treatment.Spider,Bag check,Flag color,Flag labeled,Date core in,PVC labeled,Zone,Row,Date sprayed,offset.days,core.removed.planned,core.removed.date,core.sorted.date,time.tot,Time sprayed,Bag sprayed,Flat nymphs,Flat date,Fed nymphs,Fed date,Fed ID,Spider,Spider date,Spider eggs,Core sprayed,Twist tie,Rubber band,Zip tie,Spider present 7/26,Notes,Nymphs.flat.recovered,Nymphs.engorged.recovered,Larvae.recovered,Live.spider,non.s.ocreata.spider.0.5.cm,Spider.eggs,Spiderlings.present,non.s.ocreata.1.cm,Spider.juveniles.present,Adult.male.recovered,Adult.female.recovered,Berlese.flat.nymphs.recovered,cent.0.5.cm.over,cent.over.1.cm,beetle.over.0.5.cm,beetle.over.1.cm,Berlese.adult.s.ocreata.recovered,Berlese.juve.s.ocreata,Berlese.adult.scapularis.recovered,Berlese.adult.male.scapularis.recovered,Berlese.adult.female.scapularis.recovered
11,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/21,-2,8/9,,,19,,,15,,2,,,y,,1,,,,,0,,9,0,3,1,,1,0,,,,,0,,,,,,,,,
12,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/21,-2,8/9,,,19,,,15,,2,,,n,,-1,,,,,,,9,0,0,-1,,0,0,,,,,0,,,,,,,,,
13,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/23,2,8/15,,,23,,,15,,2,,,y,,0,,,,,1,,10,1,,0,1,0,0,,1,,,0,,,,,,1,,,
14,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/23,2,8/15,,,23,,,15,,2,,,n,,-1,,,,,,,8,0,,-1,2,0,0,1,0,,,0,,,,,,,,,
15,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,n,,-1,,,,,,,7,0,,-1,,0,0,,0,,,0,,,1,,,,,,
16,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,2,8/14,,,23,,,15,,2,,,y,,0,,,,,1,,3,0,,0,,0,0,,0,,,0,,,,,,,,,
17,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,1,8/13,,,22,,,15,,2,,,n,,-1,,,,,,,13,0,,-1,,0,0,,,,,0,,,,,,,,,
18,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/24,2,8/16,,,23,,,14,,2,,,n,,-1,,,,,,,8,0,,-1,,0,0,,0,0,0,,,,,,,,,1,
19,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/24,2,8/16,,,23,,,15,,2,,,y,,0,,,,,1,,1,0,,0,,0,0,,0,,,0,,,1,,,,,,
20,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,2,8/14,,,23,,,15,,2,,,y,,1,,,,,1,,8,1,,1,,0,0,,0,,,0,,,,,,,,,
21,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/24,2,8/16,,,23,,,15,,2,,,n,,-1,,,,,,,10,1,,-1,,0,0,,0,,,0,,,,,,,,,
22,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/24,2,8/16,,,23,,,15,,2,,,y,,0,,,,,1,,3,0,,0,,0,0,,0,,,0,,,,,,,,,
23,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,2,8/14,,,23,,,15,,2,,,y,,0,,,,,0,,5,0,,0,,0,0,,0,,,0,,,,,,,,,
24,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,2,8/14,,,23,,,15,,2,,,n,,-1,,,,,,,8,1,,-1,,0,0,,0,,,0,,,,,,,,,
25,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-2,8/10,,,19,,,15,,2,,,n,,-1,,,,,,,9,0,,-1,,0,0,,0,,,1,,,,,,,,,
26,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/24,0,8/14,,,21,,,15,,2,,,n,,-1,,,,,,,3,1,,-1,1,0,0,1,0,,,0,,,,,,,,,
27,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-2,8/10,,,19,,,15,,2,,,y,,1,,,,,1,,10,0,0,0,,0,1,,,,,0,,,,,,2,,,
28,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/25,0,8/15,,,21,,,15,,2,,,y,,0,,,,,0,,9,1,,0,,0,0,,0,,,0,,,,,,,,,
29,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/25,0,8/15,,,21,,,15,,2,,,y,,1,,,,,1,,8,1,,1,,0,1,,0,,,0,,,,,,,,,
30,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,1,,,n,,-1,,,,,,,3,0,,-1,,0,0,,0,,,,,,,,,,,,
31,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-2,8/10,,,19,,,14,,2,,,y,,1,,,,,1,,13,0,1,1,,0,0,,,,,,,,,,,2,,,
32,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-2,8/10,,,19,,,15,,2,,,n,,-1,,,,,,,13,0,0,-1,,0,0,,,,,0,,,1,,,,,,
33,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-2,8/10,,,19,,,15,,2,,,y,,0,,,,,1,,10,0,0,1,,,,,,,,0,,,,,,,,,
34,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-2,8/10,,,19,,,15,,2,,,n,,-1,,,,,,,7,0,0,-1,,0,0,,,,,,,,,,,,1,,
35,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,1,,,n,,-1,,,,,,,2,0,,-1,,0,0,,0,,,0,,,,,,,,,
36,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,1,8/17,,,22,,,15,,2,,,y,,0,,,,,,ok,3,1,,0,,0,0,,0,,,0,,,,,,,,,
37,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,,21,,,15,,2,,,y,,0,,,,,,,5,0,,0,,0,0,,0,,,0,,,,,,,,,
38,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,1,,,n,,-1,,,,,,,1,0,,-1,,0,0,,0,,,0,,,,,,,,,
39,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,y,,0,,,,,1,,12,0,,1,,1,0,,0,,,0,,,,,,,,,
40,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,n,,-1,,,,,,,6,0,,-1,2,0,0,2,0,,,0,,,,,,,,,
41,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,n,,-1,,,,,,,10,1,,-1,,0,0,,0,,,0,,,,,,,,,
42,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/28,0,8/18,8/18,8/18,21,,,15,,2,,,y,,1,,,,,,,1,0,,0,1,0,0,,1,,,,,,,,1,,,,
43,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/26,0,8/16,,,21,,,15,,2,,,n,,-1,,,,,,,1,0,,-1,,0,0,,0,0,,0,,,,,,,,,
44,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,y,,1,,,,,1,,8,0,,1,,1,0,,0,,,,,,,,,,,,
45,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-1,8/11,,,20,,,15,,1,,,y,,1,,,,,0,,8,0,,1,1,0,0,,7,,,0,,,1,,,3,,,
46,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,,21,,,15,,0,,,y,,0,,,,,,,1,0,,1,,1,0,,0,,,0,,,,,,,,,
47,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/26,0,8/16,,,21,,,15,,2,,,n,,-1,,,,,,,4,1,,-1,,0,0,,0,1,,0,1,,1,,,,,,
48,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,n,,-1,,,,,,,10,1,,-1,,1,0,,0,,,0,,,,,,,,,
49,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,1,8/13,,,22,,,15,,2,,,y,,1,,,,,1,,5,0,,1,,1,0,,0,,,0,,,,,,,,,
50,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,,21,,,15,,2,,,y,,1,,,,,,,0,0,,1,,0,0,,5,0,0,0,,,,,,,0,,1
51,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,1,,,n,,-1,,,,,,,2,1,,-1,,0,0,,0,,,0,,,,,,,,,
52,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,1,8/13,,,22,,,15,,0,,,n,,-1,,,,,,,8,0,,-1,,0,0,,,,,0,,,,,,,,,
53,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,,21,,,15,,2,,,y,,1,,,,,,,2,0,,0,,0,0,,16,,,NA,,,,,,,,,
54,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,1,8/13,,,22,,,15,,2,,,n,,-1,,,,,,,10,0,,-1,,0,0,,,,,1,,,,,,,,,
55,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/26,1,8/17,,,22,,,15,,2,,,n,,-1,,,,,,,8,0,,-1,,0,0,,0,,,0,,,,,,,,,
56,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,1,8/13,,,22,,,15,,2,,,y,,0,,,,,0,,6,0,,0,,0,0,,,,,0,,,,,,,,,
57,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,1,8/13,,,22, ,,15,,2,,,y,,0,,,,,1,,0,0,,0,1,0,0,,,,,0,,,,,,,,,
58,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,2,,,n,,-1,,,,,,,5,0,,-1,,0,0,,0,,,0,,,,,,,,,
59,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/23,2,8/15,,,23,,,15,,2,,,n,,-1,,,,,,,12,0,,-1,,0,0,,0,,,0,,,,,,,,,
60,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,-1,8/15,,,20,,,15,,2,,,y,,1,,,,,,ok,1,1,,1,,0,0,,0,,,1,,,,,,12,,,
61,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,1,,,n,,-1,,,,,,,3,0,,-1,1,0,0,,0,,,0,,,,,,,,,
62,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,,21,,,15,,2,,,y,,1,,,,,,,0,0,,1,,,1,,6,,,0,,,,,,2,,,
63,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,1,8/13,,,22,,,15,,2,,,n,,-1,,,,,,,9,1,,-1,,0,0,,,,,0,,,,,,,,,
64,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,2,8/14,,,23,,,15,,2,,,y,,0,,,,,1,,1,0,,0,,0,0,,0,,,0,,,,,,,,,
65,Tritrophic.2017,1,Met52_1,spider_1,1,,B,,,,,,7/26,-1,8/15,,,20,,,15,,2,,,y,,1,,,,,,has spider even tho blue,4,0,,1,,0,,,14,,,0,,,,,,4,,,
66,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,,21,,,15,,2,,,y,,0,,,,,,,0,0,,1,,0,0,,0,,,0,,,,,,1,1,,
67,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,2,8/14,,,23,,,15,,2,,,y,,1,,,,,0,,8,0,,1,,0,1,,6,,,0,,,,,,2,,,
68,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/23,2,8/15,,,23,,,15,,2,,,n,,-1,,,,,,,7,1,,-1,,0,0,,0,,,1,,,,,,,,,
69,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,-1,8/11,,,20,,,15,,2,,,y,,1,,,,,0,,12,2,,1,,1,0,,0,,,0,1,,,,,,,,
70,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/25,0,8/15,,,21,,,15,,2,,,n,,-1,,,,,,,7,2,,-1,,0,0,,0,0,1,0,,,,,,,,,
71,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/22,2,8/14,,,23,,,16,,2,,,n,,-1,,,,,,,7,1,,-1,,0,0,,0,,,0,,,,,,,,,
72,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,1,0,21,,,15,,0,,,y,,1,,,,,,,1,0,,0,1,0,0,,,,,0,,,,,,,,,
73,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,1,8/13,,,22,,,15,,2,,,y,,1,,,,,1,,1,0,,1,,0,0,,,,,0,,,,,,,,,
74,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/26,0,8/16,,8/18,21,,,15,,2,,,y,,1.00,,,,,,,1,0,,0,,0,0,,0,,,0,,,1,,,,,,
75,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/23,2,8/15,,,23,,,15,,2,,,n,,-1,,,,,,,5,0,,-1,1,0,0,0,0,,,0,,,,,,,,,
76,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/26,0,8/16,8/18,8/18,21,,,15,,2,,,n,,-1,,,,,,,1,0,,-1,,0,0,,0,,,0,,,,,,,,,
77,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/22,0,8/12,,,21,,,15,,2,,,y,,0,,,,,1,,4,2,,1,,0,0,,,,,0,,,,,,,,,
78,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/26,0,8/16,,8/18,21,,,15,,2,,,n,,-1,,,,,,,0,1,,-1,,0,0,,0,,,0,,1,,1,,,,,
79,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/26,0,8/16,,,21,,,15,,2,,,n,,-1,,,,,,,0,0,,-1,1,0,0,0,0,,,0,,,,,,,,,
80,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/23,2,8/15,,,23,,,15,,2,,,n,,-1,,,,,,,9,0,,-1,,0,0,,0,,,0,,,,,,,,,
81,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,,,21,,,15,,2,,,y,,0,,,,,,,2,0,,0,,0,0,,0,,,0,,,,,,1,,,
82,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,8/18,8/18,21,,,15,,2,,,y,,0,,,,,,,1,0,,0,2,0,0,0,0,,,0,,,,,,,,,
83,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,8/18,8/18,21,,,15,,2,,,y,,0,,,,,,,7,1,,0,,0,0,,0,,,0,,,,,,,,,
84,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,8/18,8/18,21,,,15,,2,,,y,,0,,,,,,,1,2,,1,,0,0,,0,,,0,1,,1,,,,,,
85,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,8/18,8/18,21,,,15,,2,,,y,,1,,,,,,,3,0,,0,,0,0,,0,,,0,,,,,,,,,
86,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,,,21,,,15,,2,,,y,,1,,,,,,,3,0,,0,,0,0,,0,,,0,,,,,,,,,
87,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/27,0,8/17,,,21,,,15,,2,,,y,,1,,,,,,,1,0,,0,1,0,0,,0,,,0,,,,,,,,,
88,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/28,0,8/18,,,21,,,15,,2,,,y,,1,,,,,,,1,0,,1,,0,0,,15,,,0,,,,,,,,,
89,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/28,0,8/18,,,21,,,15,,2,,,n,,-1,,,,,,,7,0,,-1,,0,0,,0,,,0,,,,,,,,,
90,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/28,0,8/18,,,21,,,15,,2,,,n,,-1,,,,,,,3,0,,-1,,0,0,,15,,,0,,,,,,,,,
91,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/28,0,8/18,,,21,,,15,,2,,,y,,1,,,,,,,8,0,,0,1,0,0,0,0,,,NA,,,,,,1,,,
92,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/28,0,8/18,,,21,,,15,,2,,,n,,-1,,,,,,,2,0,,-1,,0,0,,0,,,0,,,,,,,,,
93,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/28,0,8/18,,,21,,,15,,2,,,n,,-1,,,,,,,6,0,,-1,,0,0,,0,,,0,,,,,,,,,
94,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/28,0,8/18,,,21,,,15,,2,,,y,,1,,,,,,,1,0,,0,,0,0,,0,,,0,,,,,,,,,
95,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/28,0,8/18,,,21,,,15,,2,,,y,,1,,,,,,,6,0,,0,,0,0,,0,,,0,,,,,,,,,
96,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/28,0,8/18,,,21,,,15,,2,,,y,,1,,,,,,,4,0,0,0,,0,0,,4,,,0,,,2,,,1,,,1
97,Tritrophic.2017,,Met52_,spider_,,,R,,,,,,7/27,0,8/17,,,21,,,15,,2,,,,,,,,,,,,1,,,,,,,,,,,NA,,,,,,,,,
98,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/23,2,8/15,8/18,8/18,23,,,15,,2,,,n,,,,,,,,,5,0,,-1,,,,,,,,NA,,,,,,,,,1
